wijk,part,order,long,lat
Staatsliedenbuurt,1,2,4.87066840400494,52.3825329985091
Staatsliedenbuurt,1,3,4.86940741959111,52.3855428388285
Staatsliedenbuurt,1,4,4.88258544716241,52.3854603774945
Staatsliedenbuurt,1,5,4.88032728309343,52.3823045102524
Staatsliedenbuurt,1,6,4.87398828771629,52.3805682951972
Staatsliedenbuurt,1,7,4.87016404318474,52.3758741664045
Frederik Hendrikbuurt,1,0,4.87963253983431,52.3819300909192
Frederik Hendrikbuurt,1,1,4.87548145302176,52.373408405209
Frederik Hendrikbuurt,1,2,4.8663519801738,52.3715856757049
Frederik Hendrikbuurt,1,3,4.87398828771629,52.3805682951972
Frederik Hendrikbuurt,1,4,4.87963253983431,52.3819300909192
Van Galenbuurt,1,0,4.85556244463296,52.3743559405612
Van Galenbuurt,1,1,4.85655052247746,52.3711245290557
Van Galenbuurt,1,2,4.84773952106893,52.369609571443
Van Galenbuurt,1,3,4.84256299559737,52.3695855662611
Van Galenbuurt,1,4,4.84303183417279,52.3722132125924
Van Galenbuurt,1,5,4.85556244463296,52.3743559405612
Geuzenbuurt,1,0,4.86502169796001,52.3701366656142
Geuzenbuurt,1,1,4.85996328686234,52.3714971006248
Geuzenbuurt,1,2,4.85655052247746,52.3711245290557
Geuzenbuurt,1,3,4.85556244463296,52.3743559405612
Geuzenbuurt,1,4,4.86443349530816,52.3754112133101
Geuzenbuurt,1,5,4.86723083628167,52.37253913669
Geuzenbuurt,1,6,4.86502169796001,52.3701366656142
Hoofdweg e.o.,1,0,4.85655052247746,52.3711245290557
Hoofdweg e.o.,1,1,4.85824813797575,52.3642062723947
Hoofdweg e.o.,1,2,4.84920998241988,52.3633646730574
Hoofdweg e.o.,1,3,4.84918195769281,52.364222876014
Hoofdweg e.o.,1,4,4.85049247947428,52.3642382257645
Hoofdweg e.o.,1,5,4.8504605210287,52.3651553795823
Hoofdweg e.o.,1,6,4.84835263965809,52.3697138890094
Hoofdweg e.o.,1,7,4.85655052247746,52.3711245290557
Chass<U+00E9>buurt,1,0,4.85923334598008,52.3636688260111
Chass<U+00E9>buurt,1,1,4.85819804592361,52.3642701491727
Chass<U+00E9>buurt,1,2,4.85655052247746,52.3711245290557
Chass<U+00E9>buurt,1,3,4.85960305017327,52.3715124827552
Chass<U+00E9>buurt,1,4,4.86502169796001,52.3701366656142
Chass<U+00E9>buurt,1,5,4.85923334598008,52.3636688260111
Bellamybuurt,1,0,4.87080365093682,52.3668486083821
Bellamybuurt,1,1,4.86006531355553,52.3645970937163
Bellamybuurt,1,2,4.8663519801738,52.3715856757049
Bellamybuurt,1,3,4.86739979406453,52.3717949219535
Bellamybuurt,1,4,4.87080365093682,52.3668486083821
Da Costabuurt,1,0,4.87463965748686,52.3725603859244
Da Costabuurt,1,1,4.87680357578464,52.3685015308991
Da Costabuurt,1,2,4.87080365093682,52.3668486083821
Da Costabuurt,1,3,4.86739979406453,52.3717949219535
Da Costabuurt,1,4,4.87548145302176,52.373408405209
Da Costabuurt,1,5,4.87463965748686,52.3725603859244
Westindische Buurt,1,0,4.85923334598008,52.3636688260111
Westindische Buurt,1,1,4.85477598359248,52.3577536877555
Westindische Buurt,1,2,4.84888606963023,52.3579119726566
Westindische Buurt,1,3,4.84945518902126,52.3633648524045
Westindische Buurt,1,4,4.85763078227575,52.3642559828925
Westindische Buurt,1,5,4.85923334598008,52.3636688260111
Van Lennepbuurt,1,0,4.87751271994304,52.36677026006
Van Lennepbuurt,1,1,4.85745049483227,52.36154811143
Van Lennepbuurt,1,2,4.86006531355553,52.3645970937163
Van Lennepbuurt,1,3,4.87680357578464,52.3685015308991
Van Lennepbuurt,1,4,4.87751271994304,52.36677026006
Overtoomse Sluis,1,0,4.86544610118045,52.3590067439457
Overtoomse Sluis,1,1,4.85411728329481,52.3565207391515
Overtoomse Sluis,1,2,4.85432426767463,52.3571813548165
Overtoomse Sluis,1,3,4.85745049483227,52.36154811143
Overtoomse Sluis,1,4,4.86377873689463,52.363065125694
Overtoomse Sluis,1,5,4.86553397322268,52.3602930624057
Overtoomse Sluis,1,6,4.86468788135518,52.360098880495
Overtoomse Sluis,1,7,4.86544610118045,52.3590067439457
Helmersbuurt,1,0,4.86553397322268,52.3602930624057
